uuid,name,floating_population,area,geometry
commercialdistrict_3,강남역 인근,24685,77225.63605,"MultiPolygon (((127.02752076 37.49420682, 127.02755813 37.49421816, 127.02792398 37.49432899, 127.0279613 37.49434034, 127.02804103 37.49436447, 127.02817109 37.4944039, 127.02834616 37.49445702, 127.02851568 37.49450843, 127.02870229 37.49456497, 127.02888934 37.49462169, 127.02892155 37.49455438, 127.0289942 37.49440209, 127.02905431 37.49427639, 127.02911431 37.49415068, 127.0291655 37.49404336, 127.0292168 37.49393613, 127.02926798 37.49382881, 127.02931928 37.49372149, 127.02946798 37.49341016, 127.02956729 37.49320218, 127.02962096 37.49308973, 127.02975825 37.49280228, 127.02981463 37.49268423, 127.02987011 37.49256799, 127.02998671 37.49232379, 127.03001089 37.49227324, 127.03012534 37.49203354, 127.03020477 37.4918672, 127.03021675 37.49184197, 127.0303068 37.49165337, 127.03037719 37.49150604, 127.03040939 37.49143864, 127.03049582 37.49125751, 127.03055796 37.49112739, 127.03068157 37.4908686, 127.03084404 37.49052843, 127.03107926 37.4900357, 127.03111146 37.4899683, 127.0312589 37.48965967, 127.03121273 37.48957733, 127.03088433 37.4894765, 127.03064006 37.48940151, 127.03035249 37.48931319, 127.03007825 37.48922901, 127.02992095 37.48918076, 127.02981825 37.48939576, 127.02975713 37.48952363, 127.02969657 37.4896505, 127.02959375 37.48986578, 127.02951523 37.49003041, 127.02943083 37.49020693, 127.02932733 37.49042374, 127.0292531 37.49057918, 127.02905503 37.49099395, 127.02899447 37.49112083, 127.02890634 37.49130528, 127.02881493 37.49149677, 127.02872352 37.49168816, 127.02852477 37.49210456, 127.02852206 37.49210997, 127.02850748 37.49214529, 127.02836112 37.49244677, 127.02828082 37.49261521, 127.02820025 37.49278399, 127.02809325 37.493008, 127.02801585 37.49317002, 127.02791347 37.49338448, 127.02784929 37.49351892, 127.02778511 37.49365336, 127.02772025 37.49378916, 127.02765528 37.49392504, 127.02756714 37.49410968, 127.02752076 37.49420682)))"
commercialdistrict_7,강남역 인근,34301,148814.975,"MultiPolygon (((127.02888934 37.49462169, 127.02870229 37.49456497, 127.02851568 37.49450843, 127.02834616 37.49445702, 127.02817109 37.4944039, 127.02804103 37.49436447, 127.0279613 37.49434034, 127.02792398 37.49432899, 127.02755813 37.49421816, 127.02752076 37.49420682, 127.02750657 37.49423655, 127.02741278 37.4944329, 127.02730453 37.49465962, 127.02724102 37.49479253, 127.0271869 37.49490598, 127.02714226 37.49499933, 127.02709729 37.49509367, 127.02708113 37.49512728, 127.02697581 37.49534796, 127.02689773 37.49551133, 127.02678292 37.49575183, 127.02673011 37.49584693, 127.02659352 37.49580557, 127.02643836 37.49575857, 127.02624621 37.49570023, 127.02607974 37.49564981, 127.02592718 37.49560353, 127.02581001 37.49556805, 127.02548249 37.49546874, 127.02509312 37.49535069, 127.02502 37.49550379, 127.02491321 37.49572735, 127.02478155 37.49600299, 127.02470844 37.49615608, 127.02463893 37.49630161, 127.02456943 37.49644713, 127.02449993 37.49659257, 127.02443879 37.4967207, 127.02441868 37.49676278, 127.02424125 37.49713448, 127.02420508 37.49721026, 127.02414892 37.49732803, 127.02409286 37.4974458, 127.02403669 37.49756357, 127.0239629 37.49771856, 127.02381259 37.49803367, 127.02373506 37.49819667, 127.02363549 37.49840527, 127.02383171 37.49846479, 127.02401425 37.49852017, 127.02435151 37.49862246, 127.02446867 37.49865794, 127.02480684 37.49876049, 127.02494086 37.49880119, 127.02513459 37.4988599, 127.02527766 37.49890321, 127.02519719 37.49907162, 127.025093 37.49928968, 127.02503389 37.49941349, 127.02495942 37.49956947, 127.02490777 37.49967778, 127.02486211 37.49977338, 127.02481012 37.49988224, 127.02478188 37.49994135, 127.02478116 37.49994285, 127.02466445 37.50018716, 127.02465024 37.50021691, 127.02468764 37.50022824, 127.02495965 37.50031072, 127.02509333 37.50035124, 127.02521039 37.50038672, 127.02535629 37.50043093, 127.02550219 37.50047513, 127.02563995 37.50051691, 127.02581016 37.50056851, 127.02601895 37.5006318, 127.02610246 37.50045708, 127.0262122 37.50022721, 127.02632476 37.49999167, 127.02639866 37.49983677, 127.0264537 37.4997217, 127.02653755 37.49954617, 127.02664649 37.4993182, 127.02673961 37.49912311, 127.02681623 37.49896262, 127.02689149 37.49880511, 127.02696676 37.49864751, 127.02706405 37.49844378, 127.02706733 37.49843693, 127.02716824 37.49822553, 127.02724847 37.49805756, 127.02739753 37.49774543, 127.02748838 37.49755521, 127.02760297 37.49731525, 127.0276093 37.49730218, 127.02765868 37.49719855, 127.02771416 37.4970824, 127.02779869 37.49690552, 127.02785937 37.49677837, 127.02794909 37.49659059, 127.02803881 37.4964028, 127.02810514 37.49626385, 127.02813735 37.49619645, 127.02817611 37.49611535, 127.02821475 37.49603425, 127.02827035 37.49591783, 127.02833613 37.49578014, 127.02837918 37.49569003, 127.02842145 37.49560155, 127.0284725 37.49549467, 127.02850934 37.49541745, 127.02854629 37.49534022, 127.02858313 37.495263, 127.02868041 37.49505917, 127.02872832 37.49495897, 127.02880787 37.49479227, 127.02884234 37.49472027, 127.02888934 37.49462169)))"
commercialdistrict_10,고속터미널,70241,160955.43,"MultiPolygon (((127.00978648 37.50547341, 127.00546691 37.50377763, 127.00544352 37.50382871, 127.00309861 37.50290801, 127.00176379 37.50451385, 127.00173409 37.50450528, 127.00152837 37.50475275, 127.00162868 37.50500094, 127.00239445 37.50523253, 127.00447896 37.5058629, 127.00506959 37.50604151, 127.00521717 37.50608613, 127.00841782 37.50705392, 127.00865295 37.50712501, 127.00895345 37.50702336, 127.00922321 37.50652204, 127.0092936 37.50639122, 127.00933906 37.50630672, 127.00975979 37.50552323, 127.00978648 37.50547341)))"
commercialdistrict_2,교대역 인근,183400,121158.6328,"MultiPolygon (((127.01453105 37.49136279, 127.01426645 37.49133328, 127.01424691 37.49144968, 127.01422375 37.49158799, 127.01419562 37.49175585, 127.01417619 37.49187181, 127.01415676 37.49198768, 127.01412716 37.49216383, 127.01411835 37.49221753, 127.01407475 37.49247666, 127.01405069 37.4926201, 127.01402674 37.49276273, 127.01400279 37.49290545, 127.01397839 37.49305151, 127.01396642 37.49312287, 127.01395196 37.49320901, 127.01394145 37.49327163, 127.01405998 37.49343424, 127.01408012 37.49346199, 127.01421595 37.4936484, 127.01422873 37.49365236, 127.01440017 37.49370514, 127.01448691 37.49373171, 127.01480536 37.4938297, 127.0150088 37.4938923, 127.01520964 37.49395408, 127.01541036 37.49401587, 127.01561709 37.49407945, 127.01568041 37.494099, 127.01599321 37.49419519, 127.01625693 37.49427633, 127.01678267 37.49443818, 127.016846 37.49445772, 127.0171536 37.49455229, 127.01738894 37.49462461, 127.01779319 37.49474898, 127.01794975 37.49479707, 127.01917348 37.49517369, 127.01955708 37.49529166, 127.01972965 37.4953448, 127.01996545 37.49541738, 127.02053972 37.49559407, 127.02077053 37.49566502, 127.02082478 37.49552212, 127.02083789 37.49548743, 127.02083826 37.49548644, 127.02087439 37.49539147, 127.02063826 37.49533456, 127.02067093 37.49524843, 127.02062814 37.49523703, 127.02054856 37.49521582, 127.02046374 37.4951898, 127.02034443 37.49515315, 127.02012413 37.49508552, 127.01988969 37.49501347, 127.01971712 37.49496052, 127.01937084 37.49485417, 127.01930108 37.49483277, 127.01923287 37.49481184, 127.01909954 37.49477086, 127.01898068 37.49473439, 127.01886081 37.49469756, 127.0187104 37.49465136, 127.01855264 37.49460291, 127.01851792 37.49459228, 127.01835021 37.49454068, 127.01821021 37.49449772, 127.01810799 37.49446985, 127.01821999 37.49423841, 127.01829425 37.49408487, 127.01827129 37.4940437, 127.01812925 37.49400011, 127.01798043 37.49395436, 127.01781781 37.49390447, 127.01769963 37.49386817, 127.01766797 37.49385845, 127.01751236 37.49381062, 127.01736806 37.49376631, 127.01724208 37.49372759, 127.01717119 37.49370584, 127.01710412 37.49368526, 127.01696027 37.49364113, 127.01678329 37.49358673, 127.01663232 37.49354035, 127.01654536 37.4935136, 127.01639439 37.49346722, 127.01624986 37.49342291, 127.01607605 37.4933695, 127.0160064 37.4933564, 127.01592667 37.49334141, 127.01502937 37.49324141, 127.01488429 37.49322521, 127.01473909 37.4932091, 127.01462138 37.49319596, 127.01449205 37.493182, 127.0145102 37.49307857, 127.01452669 37.49298486, 127.01454827 37.49286169, 127.01456985 37.49273862, 127.01462814 37.49240668, 127.01464542 37.49230838, 127.01466598 37.4921917, 127.01469128 37.49204727, 127.01473816 37.4917802, 127.01473884 37.49177633, 127.01476561 37.4916237, 127.01478482 37.49151476, 127.01480052 37.49142502, 127.01476648 37.49138908, 127.01453105 37.49136279)),((127.01361136 37.49319931, 127.01363983 37.49302911, 127.01367067 37.49284557, 127.01367948 37.49279196, 127.01370185 37.49265942, 127.01372422 37.49252688, 127.01375212 37.49236037, 127.01378127 37.49218621, 127.01379324 37.49211476, 127.01382182 37.49194374, 127.01384419 37.49181066, 127.01386656 37.4916774, 127.0138887 37.4915455, 127.01392304 37.49134006, 127.01390133 37.49134313, 127.01369587 37.49137135, 127.01348725 37.49140003, 127.01344361 37.49142859, 127.01341275 37.49149248, 127.01333634 37.49165043, 127.01326738 37.49179288, 127.01316293 37.49200886, 127.01310008 37.49213852, 127.01302254 37.49229891, 127.01296579 37.49241623, 127.01290701 37.49253769, 127.01284619 37.49266347, 127.01280093 37.49275445, 127.01263542 37.4927098, 127.01244454 37.49265117, 127.01228215 37.49260135, 127.01214634 37.49255965, 127.01199413 37.4925129, 127.01184192 37.49246606, 127.0116896 37.49241932, 127.01153739 37.49237257, 127.01140678 37.49233248, 127.01126882 37.49229015, 127.01102615 37.49221556, 127.01089939 37.49217656, 127.01075306 37.49213152, 127.01060605 37.4920863, 127.01045747 37.49204063, 127.01031374 37.4919965, 127.01017725 37.49195452, 127.01004721 37.49191453, 127.00990925 37.49187219, 127.00979425 37.49183679, 127.00965324 37.49179346, 127.00950499 37.49174788, 127.0093451 37.49169869, 127.00922025 37.49166032, 127.00898629 37.49158835, 127.00886496 37.49155105, 127.00874713 37.49151484, 127.0086483 37.49148034, 127.00868674 37.49140087, 127.00875649 37.4912567, 127.00882624 37.49111245, 127.00888401 37.49099324, 127.00893726 37.49088314, 127.00899039 37.49077312, 127.00904364 37.49066301, 127.00911803 37.49050939, 127.00909507 37.49046821, 127.00889051 37.49040534, 127.00865339 37.49033246, 127.00854972 37.49054645, 127.00845351 37.49074495, 127.00838919 37.49087776, 127.00832486 37.49101057, 127.00827116 37.4911214, 127.00820954 37.49124853, 127.00813719 37.49139783, 127.0081096 37.49145478, 127.00808383 37.49150803, 127.00813281 37.49159603, 127.00821943 37.49175165, 127.00825766 37.49182049, 127.00851785 37.4919003, 127.00894224 37.49203047, 127.00931359 37.49214433, 127.00946184 37.49218982, 127.0096015 37.4922327, 127.00981827 37.49229918, 127.01010946 37.49238845, 127.01056913 37.49252942, 127.01080773 37.49260274, 127.01087242 37.49262256, 127.01117819 37.49271633, 127.01143568 37.49279532, 127.01162984 37.49285486, 127.01187591 37.49293035, 127.01240169 37.49309159, 127.01250762 37.49305492, 127.01263779 37.49309407, 127.01267686 37.49317599, 127.01280591 37.49321561, 127.01295359 37.49326091, 127.01311146 37.49330928, 127.01325214 37.49335252, 127.0132717 37.49335846, 127.01345182 37.49327411, 127.01357145 37.49321796, 127.01361136 37.49319931)),((127.01409806 37.49457121, 127.01410459 37.49443804, 127.01419144 37.4944647, 127.01438934 37.4945255, 127.01464424 37.49460377, 127.0148729 37.49467402, 127.01509161 37.49474121, 127.01531032 37.4948084, 127.01534216 37.49481818, 127.01540068 37.49482208, 127.01555843 37.49483261, 127.01573167 37.49484421, 127.01598972 37.49486157, 127.01613922 37.49487155, 127.01636516 37.49488666, 127.01648717 37.49489484, 127.01661982 37.4949215, 127.01691713 37.49501282, 127.01708982 37.49506586, 127.01735987 37.49514881, 127.01744718 37.49517565, 127.01776835 37.49527426, 127.01795449 37.49533145, 127.01814064 37.49538864, 127.01832678 37.49544574, 127.01858757 37.49552589, 127.01885661 37.49560847, 127.01889879 37.49562144, 127.01924982 37.49572923, 127.0194993 37.49580578, 127.01955019 37.49582145, 127.01964927 37.49588901, 127.01977085 37.49597189, 127.01994435 37.49609007, 127.02020211 37.49626573, 127.02025832 37.4963041, 127.02041452 37.49641057, 127.02050715 37.49647363, 127.02059202 37.49624665, 127.02062603 37.49615564, 127.0206757 37.49602285, 127.02006765 37.49583518, 127.01986648 37.49577318, 127.01866236 37.49539136, 127.01697897 37.49488487, 127.01668167 37.49479346, 127.0164458 37.49472078, 127.01624254 37.49465818, 127.01549435 37.49442798, 127.01527564 37.4943607, 127.01505704 37.49429342, 127.01482838 37.49422308, 127.01457201 37.49414418, 127.01425888 37.49404789, 127.01417203 37.49402123, 127.01412262 37.49400603, 127.01382094 37.49416967, 127.01375299 37.49420652, 127.0137322 37.49429257, 127.01368417 37.49449062, 127.01365151 37.49462559, 127.01359806 37.49484679, 127.01356551 37.49498113, 127.01356077 37.4950005, 127.01352709 37.4951398, 127.01349014 37.49529261, 127.01345092 37.4954575, 127.01343737 37.49551053, 127.01343736 37.49551057, 127.01339067 37.49570357, 127.01336256 37.49581971, 127.01335613 37.49584629, 127.01332514 37.49597424, 127.01326683 37.4962149, 127.01323948 37.49632798, 127.01321213 37.49644097, 127.01315619 37.49667251, 127.01349568 37.4967216, 127.01361804 37.49673925, 127.0136661 37.49671546, 127.01376251 37.49644884, 127.01380207 37.49633936, 127.01387443 37.49620574, 127.0139539 37.49605905, 127.01401687 37.4959429, 127.0140917 37.49580468, 127.014174 37.49565267, 127.01420603 37.4955988, 127.01419863 37.49552905, 127.01418028 37.49535399, 127.0141659 37.4952174, 127.01416397 37.49519947, 127.01415118 37.49507694, 127.01413792 37.49495035, 127.01412614 37.49483845, 127.01412331 37.49481151, 127.01409806 37.49457121)))"
commercialdistrict_1,교대역 인근,60896,22713.56326,"MultiPolygon (((127.01385921 37.49788286, 127.01406273 37.49698652, 127.01311483 37.49684967, 127.01298725 37.49741073, 127.01336892 37.49746602, 127.01333694 37.49760703, 127.01329286 37.49780093, 127.01291119 37.49774573, 127.01254695 37.49934774, 127.01349522 37.49948487, 127.01385921 37.49788286)))"
commercialdistrict_6,남부터미널,6245,30370.95545,"MultiPolygon (((127.01672015 37.48496205, 127.01687731 37.48499208, 127.01713726 37.48504187, 127.01718124 37.48505024, 127.01737719 37.48508779, 127.01762787 37.48514046, 127.01787539 37.48520206, 127.01802363 37.48524348, 127.01811929 37.4852723, 127.01823632 37.48530842, 127.01836335 37.4850926, 127.01863348 37.4846336, 127.01905742 37.48391328, 127.01904373 37.48386949, 127.01807781 37.48329236, 127.01769606 37.48306428, 127.01768579 37.48308068, 127.01760384 37.48321162, 127.01752743 37.48333369, 127.0173016 37.48369449, 127.0169554 37.48424757, 127.01691506 37.48431209, 127.01686396 37.48439372, 127.01674596 37.48458223, 127.01659167 37.48482867, 127.01664935 37.48492706, 127.01666337 37.48495119, 127.01672015 37.48496205)))"
commercialdistrict_5,남부터미널,12019,19833.36893,"MultiPolygon (((127.01658993 37.48422589, 127.01672854 37.48400415, 127.01491082 37.48328068, 127.01486731 37.48326765, 127.01484731 37.48338914, 127.01471801 37.48417447, 127.01471427 37.48419722, 127.01469153 37.48433524, 127.01465369 37.48456513, 127.01474233 37.48458217, 127.01492076 37.48461648, 127.01566341 37.48475926, 127.01594551 37.4848135, 127.01605201 37.48483397, 127.01625697 37.48475781, 127.01637317 37.48457219, 127.01645097 37.48444789, 127.01651243 37.48434971, 127.01658993 37.48422589)))"
commercialdistrict_15,남부터미널,11252,105295.4942,"MultiPolygon (((127.01582577 37.48544667, 127.01594524 37.48525592, 127.01599656 37.48517392, 127.01594883 37.48509221, 127.01568119 37.48504079, 127.01518561 37.48494552, 127.01492871 37.48489609, 127.01458803 37.48483062, 127.01458058 37.4848736, 127.01455256 37.4850329, 127.01452953 37.48516409, 127.0145049 37.4853042, 127.01449948 37.48533527, 127.01437419 37.48531052, 127.01413448 37.48526423, 127.01404844 37.48524767, 127.01395606 37.48522984, 127.01389624 37.48521831, 127.01375253 37.48519066, 127.01350898 37.48514366, 127.01331167 37.48510556, 127.01326769 37.4850971, 127.01305648 37.4850563, 127.01273559 37.48499444, 127.01256496 37.48496148, 127.01242125 37.48493383, 127.01225764 37.48490222, 127.01192375 37.48483783, 127.01173634 37.48524807, 127.01164789 37.48543091, 127.0115617 37.48560893, 127.01151773 37.48569994, 127.01150903 37.48571787, 127.01149275 37.48575148, 127.01148416 37.48576923, 127.01144038 37.4858597, 127.01144007 37.48586032, 127.01137194 37.48600121, 127.01131393 37.48612117, 127.0112995 37.48615101, 127.01128323 37.48618462, 127.01126882 37.48621416, 127.01123139 37.48629159, 127.01122735 37.48629994, 127.0111854 37.48638671, 127.01111159 37.48653935, 127.01106694 37.4866317, 127.01102818 37.48671196, 127.01101948 37.48672983, 127.01092687 37.48692014, 127.01094138 37.48692459, 127.01083668 37.4871407, 127.01097678 37.48718321, 127.01102427 37.48719762, 127.01120733 37.48725311, 127.01141392 37.4873158, 127.01147736 37.48733499, 127.01181386 37.48743704, 127.01191163 37.48746673, 127.01197285 37.48748531, 127.01214788 37.48753839, 127.01232281 37.48759143, 127.01262258 37.4876824, 127.01273486 37.48771645, 127.0127983 37.48773564, 127.01298894 37.48779346, 127.01315143 37.48784273, 127.0132964 37.48788668, 127.0134746 37.48794073, 127.01365292 37.48799477, 127.01392668 37.48807781, 127.01401341 37.48810411, 127.0143817 37.4882158, 127.01446853 37.48817542, 127.01449621 37.48803126, 127.014497 37.48802784, 127.01452525 37.48790367, 127.01453576 37.48786367, 127.01455768 37.48778014, 127.01458469 37.48768995, 127.0145944 37.48765733, 127.01463509 37.48753533, 127.01464368 37.48751218, 127.01466323 37.48745974, 127.01468007 37.48741432, 127.01472901 37.4872943, 127.01476936 37.48720375, 127.01478201 37.48717528, 127.01483909 37.4870576, 127.01486826 37.48700264, 127.01491279 37.48691875, 127.01495936 37.48683432, 127.01499338 37.48677692, 127.01503374 37.48671222, 127.0151722 37.48649092, 127.01528219 37.4863153, 127.01534131 37.48622069, 127.01543965 37.48606373, 127.01551176 37.48594848, 127.01563079 37.48575827, 127.01567272 37.48569123, 127.01575625 37.48555769, 127.01582577 37.48544667)))"
commercialdistrict_23,논현역 인근,25818,9604.863264,"MultiPolygon (((127.02409125 37.50455103, 127.02381565 37.50446827, 127.02388093 37.50460594, 127.0239572 37.50462899, 127.02214409 37.50843515, 127.0216363 37.50950106, 127.02104078 37.51075108, 127.02086447 37.51081745, 127.02104748 37.51087275, 127.02115062 37.51083579, 127.0211767 37.51078109, 127.02125221 37.51062268, 127.02129091 37.5105415, 127.0213151 37.51049095, 127.02140294 37.51030668, 127.02145097 37.51020594, 127.02168593 37.50971308, 127.02175562 37.50956691, 127.02177969 37.50951636, 127.02181987 37.50943211, 127.02189537 37.5092738, 127.02190339 37.50925695, 127.02195479 37.50914917, 127.02197486 37.50910707, 127.02201383 37.50902537, 127.02206003 37.5089285, 127.02207204 37.50890328, 127.02210355 37.50883722, 127.02213238 37.50877676, 127.02217329 37.50869097, 127.0222172 37.50859887, 127.02226451 37.50849968, 127.0222887 37.50844913, 127.02233175 37.50835883, 127.02240561 37.50820386, 127.02245235 37.50810581, 127.02249002 37.50802679, 127.02254916 37.50790272, 127.02261581 37.50776287, 127.0226238 37.5077461, 127.02268127 37.50762554, 127.02270535 37.50757499, 127.02283869 37.50729538, 127.0229074 37.5071513, 127.02297655 37.50700631, 127.02302398 37.50690685, 127.02306083 37.50682962, 127.02306543 37.50681997, 127.02325035 37.50643215, 127.02333902 37.50624619, 127.02337769 37.50616509, 127.02344399 37.50602604, 127.02351393 37.50587934, 127.0235782 37.50574456, 127.02363298 37.50562966, 127.02369278 37.50550423, 127.02380481 37.50526924, 127.02381887 37.50523975, 127.02387526 37.50512147, 127.02393099 37.50500457, 127.02393903 37.50498772, 127.02394706 37.50497087, 127.02400277 37.504854, 127.02402218 37.5048133, 127.02406342 37.50472679, 127.0241216 37.50460477, 127.02409125 37.50455103)))"
commercialdistrict_13,논현역 인근,2752,10881.34737,"MultiPolygon (((127.02092663 37.51112532, 127.0207608 37.5110752, 127.02082941 37.51121107, 127.02080141 37.51126789, 127.02052236 37.51185026, 127.02028033 37.5123616, 127.02018932 37.51257167, 127.02008431 37.51285201, 127.02002132 37.51302843, 127.01970035 37.51407053, 127.01954136 37.51461102, 127.01937258 37.51517401, 127.01923432 37.51563694, 127.01918219 37.51581125, 127.01907709 37.51587346, 127.01902963 37.51605263, 127.01904434 37.51627275, 127.0188494 37.51691724, 127.01868454 37.51747031, 127.01863082 37.51765885, 127.01846881 37.51819859, 127.0182726 37.51884739, 127.01840737 37.51887135, 127.01842975 37.51879643, 127.01855838 37.51836618, 127.01857409 37.51831356, 127.01864304 37.51808263, 127.0186913 37.51792143, 127.01873674 37.51776916, 127.01877992 37.51762463, 127.01879563 37.51757201, 127.01885644 37.51736865, 127.01887893 37.51729341, 127.01897625 37.51696778, 127.01898472 37.51693912, 127.0190505 37.516719, 127.01909029 37.51658601, 127.01916523 37.51633516, 127.0192042 37.51610891, 127.01930334 37.51587275, 127.01936166 37.51567758, 127.01938359 37.51560424, 127.01941636 37.51549476, 127.0194375 37.51542376, 127.01950464 37.51519905, 127.01953989 37.51508118, 127.01957516 37.51496314, 127.01962907 37.51478276, 127.019645 37.51472969, 127.01973011 37.51444451, 127.01976785 37.51431819, 127.01987353 37.51396444, 127.01989703 37.51388551, 127.02001084 37.51350707, 127.02006701 37.51332047, 127.02011877 37.51315395, 127.02013978 37.51309151, 127.02017449 37.51298825, 127.02022503 37.51284805, 127.02023395 37.51282336, 127.02029736 37.51265937, 127.02030109 37.51265027, 127.02032234 37.51259882, 127.0203645 37.51249646, 127.02041809 37.512374, 127.0204355 37.51233445, 127.02051022 37.51217361, 127.02051734 37.51216144, 127.02054142 37.51211089, 127.02059716 37.5119942, 127.02065321 37.51187688, 127.02070919 37.51175966, 127.02081566 37.51153682, 127.02082967 37.51150745, 127.02084485 37.51147565, 127.02085412 37.51145626, 127.02087739 37.5114077, 127.02097292 37.51120757, 127.02092663 37.51112532)))"
commercialdistrict_14,사당역,8060,17720.44631,"MultiPolygon (((126.98272547 37.47620866, 126.98282015 37.47619674, 126.98282729 37.47619678, 126.98290759 37.47618504, 126.98304769 37.47616456, 126.983088 37.47616002, 126.98311809 37.47615474, 126.98314361 37.47615054, 126.9835061 37.47608724, 126.9834812 37.47599679, 126.98353101 37.47596545, 126.98353099 37.47593795, 126.9835817 37.4758408, 126.98364218 37.47577948, 126.98367704 37.47575501, 126.98362405 37.47565262, 126.98359438 37.47551297, 126.98362615 37.4754945, 126.98365159 37.47548927, 126.98366685 37.47548232, 126.98373153 37.47547473, 126.98380953 37.47548517, 126.98395711 37.47549426, 126.98402471 37.47550402, 126.98407052 37.47550975, 126.9841667 37.47554692, 126.98438361 37.47567129, 126.98438207 37.47564894, 126.98429224 37.47558888, 126.98425743 37.4755267, 126.98425609 37.47546444, 126.98417743 37.47534865, 126.98413471 37.47530927, 126.98406859 37.47524835, 126.98402124 37.47517627, 126.98395534 37.47511175, 126.9839402 37.47510057, 126.98343462 37.47513667, 126.98324251 37.47515038, 126.98313106 37.47515834, 126.98310773 37.47516001, 126.98308766 37.47516144, 126.98307256 37.47516253, 126.98297506 37.47516953, 126.9827927 37.47518256, 126.98266687 37.47519154, 126.98260539 37.47519593, 126.9825822 37.47519759, 126.98213616 37.47522944, 126.98211336 37.47523107, 126.9820045 37.47523884, 126.98198414 37.4753145, 126.98195261 37.47555, 126.98194792 37.47561453, 126.98193619 37.47565936, 126.98193347 37.47572842, 126.98193023 37.47578236, 126.98192366 37.47583958, 126.98192186 37.47593379, 126.98197957 37.47598038, 126.98199949 37.47599561, 126.98202248 37.47601228, 126.98217603 37.4761242, 126.98222287 37.47615901, 126.98224104 37.47617298, 126.98224366 37.47617492, 126.98234584 37.47625046, 126.98235234 37.47625566, 126.98253271 37.47623294, 126.98256755 37.47622856, 126.98264923 37.47621826, 126.98272547 37.47620866)))"
commercialdistrict_27,사당역,6910,14004.33097,"MultiPolygon (((126.9846105 37.47648254, 126.984573 37.47636531, 126.98437311 37.47639808, 126.98407215 37.47644732, 126.98362727 37.47652014, 126.98312191 37.47660972, 126.98312427 37.47662837, 126.98313262 37.47667297, 126.98315928 37.47681441, 126.98302547 37.47683206, 126.98302541 37.47683207, 126.98288047 37.47684934, 126.98264543 37.47687733, 126.98233802 37.47691404, 126.98224419 37.4769252, 126.98221863 37.47695042, 126.982087 37.47708087, 126.9820109 37.47715627, 126.98196508 37.47727159, 126.9819689 37.47736196, 126.98197295 37.47745936, 126.98197441 37.4774954, 126.98197587 37.47753153, 126.9819807 37.47762037, 126.98198881 37.47776525, 126.98200006 37.47796933, 126.98200186 37.47800276, 126.98200388 37.4780388, 126.98201131 37.47817287, 126.98201739 37.47828387, 126.98212897 37.47828002, 126.98215294 37.47827921, 126.98219805 37.47827759, 126.98222202 37.47827679, 126.98231552 37.47827356, 126.98235894 37.47824473, 126.9823749 37.47818761, 126.98242367 37.47801346, 126.9824254 37.47800571, 126.98244766 37.47790588, 126.98246521 37.47781011, 126.9824677 37.47778857, 126.98247495 37.47772523, 126.98247631 37.4777137, 126.98248063 37.47761694, 126.9824888 37.47753377, 126.98249209 37.4774598, 126.9824963 37.47736646, 126.98249664 37.47735898, 126.98250978 37.47723807, 126.98251572 37.47713003, 126.98323904 37.47701924, 126.9834898 37.47698207, 126.98373559 37.47694561, 126.98418092 37.47687964, 126.98430223 37.47686173, 126.98447555 37.47683598, 126.98456012 37.47681905, 126.98466979 37.47679709, 126.98469874 37.47675835, 126.98464858 37.47660156, 126.98464496 37.47659039, 126.9846105 37.47648254)))"
