way_type,name,lon,lat,uuid
culture,구룡산 나들길,127.0614935,37.46896272,goodwaytowalk_5503
culture,구룡산 나들길,127.0600493,37.46886485,goodwaytowalk_5507
culture,구룡산 나들길,127.0482776,37.46554119,goodwaytowalk_5585
culture,구룡산 나들길,127.0498135,37.46634074,goodwaytowalk_5588
culture,구룡산 나들길,127.0565199,37.46833307,goodwaytowalk_5642
culture,서리골서리풀나들길,127.0068338,37.50242185,goodwaytowalk_5463
culture,서리골서리풀나들길,127.0027237,37.50236857,goodwaytowalk_5468
culture,서리골서리풀나들길,127.0063244,37.50300578,goodwaytowalk_5478
culture,서리골서리풀나들길,127.0086345,37.50035075,goodwaytowalk_5481
culture,서리골서리풀나들길,127.009918,37.49871926,goodwaytowalk_5487
culture,서리골서리풀나들길,127.0070349,37.50180554,goodwaytowalk_5493
culture,서리골서리풀나들길,127.0064332,37.50295204,goodwaytowalk_5520
culture,서리골서리풀나들길,126.9986518,37.48171534,goodwaytowalk_5527
culture,서리골서리풀나들길,127.000363,37.48246175,goodwaytowalk_5579
culture,서리골서리풀나들길,127.0028473,37.48471103,goodwaytowalk_5582
culture,서리골서리풀나들길,127.0069021,37.50233153,goodwaytowalk_5658
culture,서리골서리풀나들길,126.9979884,37.48331066,goodwaytowalk_5667
culture,서리골서리풀나들길,127.0024593,37.49808299,goodwaytowalk_5682
culture,서리골서리풀나들길,126.9976443,37.48166292,goodwaytowalk_5713
culture,서리골서리풀나들길,126.9974423,37.48192612,goodwaytowalk_5715
culture,서리골서리풀나들길,126.9976384,37.48347096,goodwaytowalk_5826
culture,서리골서리풀나들길,126.9976278,37.49325324,goodwaytowalk_5836
culture,서리골서리풀나들길,127.0031549,37.50169338,goodwaytowalk_5848
culture,서리골서리풀나들길,126.9982781,37.48167194,goodwaytowalk_5850
culture,서리골서리풀나들길,127.0030083,37.50192295,goodwaytowalk_5857
culture,서리골서리풀나들길,126.9979292,37.48591019,goodwaytowalk_5892
culture,서리골서리풀나들길,126.9995879,37.48760831,goodwaytowalk_5907
culture,서리골서리풀나들길,126.9972347,37.489538,goodwaytowalk_5910
culture,서리골서리풀나들길,127.0066506,37.50266434,goodwaytowalk_5923
culture,서리골서리풀나들길,127.00428,37.49467727,goodwaytowalk_5937
culture,서리골서리풀나들길,126.9995963,37.48739471,goodwaytowalk_5976
culture,서리골서리풀나들길,127.0023412,37.49323665,goodwaytowalk_5991
culture,우면산숲 나들길,127.0200017,37.48164634,goodwaytowalk_5475
culture,우면산숲 나들길,127.0162506,37.48472578,goodwaytowalk_5489
culture,우면산숲 나들길,127.0140342,37.47327488,goodwaytowalk_5497
culture,우면산숲 나들길,127.0028387,37.47258871,goodwaytowalk_5528
culture,우면산숲 나들길,127.0068668,37.47075847,goodwaytowalk_5563
culture,우면산숲 나들길,127.0065772,37.47598767,goodwaytowalk_5578
culture,우면산숲 나들길,127.0170214,37.4833458,goodwaytowalk_5580
culture,우면산숲 나들길,127.0053655,37.47526684,goodwaytowalk_5630
culture,우면산숲 나들길,127.0170087,37.48336861,goodwaytowalk_5646
culture,우면산숲 나들길,127.0164783,37.48431811,goodwaytowalk_5652
culture,우면산숲 나들길,127.0175954,37.47627084,goodwaytowalk_5680
culture,우면산숲 나들길,127.0175211,37.47617383,goodwaytowalk_5690
culture,우면산숲 나들길,127.0047101,37.47472795,goodwaytowalk_5704
culture,우면산숲 나들길,127.0166336,37.48404012,goodwaytowalk_5754
culture,우면산숲 나들길,127.0105236,37.47883903,goodwaytowalk_5772
culture,우면산숲 나들길,127.0150051,37.4737207,goodwaytowalk_5801
culture,우면산숲 나들길,127.019828,37.48166103,goodwaytowalk_5841
culture,우면산숲 나들길,127.0145327,37.47340466,goodwaytowalk_5866
culture,우면산숲 나들길,127.0199666,37.48146856,goodwaytowalk_5870
culture,우면산숲 나들길,127.0072194,37.47630639,goodwaytowalk_5929
culture,우면산숲 나들길,127.0167295,37.4838685,goodwaytowalk_5934
culture,우면산숲 나들길,127.0145685,37.47342857,goodwaytowalk_5942
culture,우면산숲 나들길,127.007551,37.47647092,goodwaytowalk_5989
seoul-dulle,서울둘레길 4코스(대모-우면산),127.021457,37.47717744,goodwaytowalk_5476
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0312074,37.47106771,goodwaytowalk_5498
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0493783,37.46183768,goodwaytowalk_5504
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0033838,37.47404491,goodwaytowalk_5526
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0163215,37.47928,goodwaytowalk_5549
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0172426,37.47904369,goodwaytowalk_5554
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0294028,37.4736604,goodwaytowalk_5556
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0014531,37.46833525,goodwaytowalk_5564
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0058754,37.47592547,goodwaytowalk_5577
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0162057,37.47929553,goodwaytowalk_5581
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0481167,37.46067027,goodwaytowalk_5584
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0488624,37.46130015,goodwaytowalk_5587
seoul-dulle,서울둘레길 4코스(대모-우면산),127.016209,37.47929508,goodwaytowalk_5653
seoul-dulle,서울둘레길 4코스(대모-우면산),127.015259,37.47895904,goodwaytowalk_5656
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0043353,37.47490997,goodwaytowalk_5668
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0248636,37.47540646,goodwaytowalk_5679
seoul-dulle,서울둘레길 4코스(대모-우면산),126.9833255,37.47354664,goodwaytowalk_5685
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0249786,37.47533638,goodwaytowalk_5688
seoul-dulle,서울둘레길 4코스(대모-우면산),127.015346,37.47898599,goodwaytowalk_5698
seoul-dulle,서울둘레길 4코스(대모-우면산),126.9844495,37.47330411,goodwaytowalk_5709
seoul-dulle,서울둘레길 4코스(대모-우면산),126.9881932,37.47245468,goodwaytowalk_5712
seoul-dulle,서울둘레길 4코스(대모-우면산),126.9878713,37.47285193,goodwaytowalk_5716
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0281338,37.47410427,goodwaytowalk_5763
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0273338,37.47441914,goodwaytowalk_5766
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0077849,37.47666098,goodwaytowalk_5773
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0238553,37.4760604,goodwaytowalk_5788
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0271512,37.4746285,goodwaytowalk_5868
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0287471,37.47408925,goodwaytowalk_5895
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0268758,37.47475594,goodwaytowalk_5902
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0109443,37.47706082,goodwaytowalk_5926
seoul-dulle,서울둘레길 4코스(대모-우면산),127.0068466,37.47623228,goodwaytowalk_5928
seoul-dulle,서울둘레길 4코스(대모-우면산),127.031048,37.47124423,goodwaytowalk_5941
seoul-dulle,서울둘레길 4코스(대모-우면산),126.9866045,37.47355467,goodwaytowalk_5983
seoul-dulle,서울둘레길 5코스(관악산),126.9818035,37.47623832,goodwaytowalk_5568
seoul-dulle,서울둘레길 5코스(관악산),126.9818863,37.47597056,goodwaytowalk_5714
jicheon,강남서초한강길,127.0045705,37.51506941,goodwaytowalk_5464
jicheon,강남서초한강길,126.9924945,37.50837419,goodwaytowalk_5466
jicheon,강남서초한강길,126.9943903,37.50884198,goodwaytowalk_5471
jicheon,강남서초한강길,127.0005792,37.51287924,goodwaytowalk_5472
jicheon,강남서초한강길,127.0037878,37.51424889,goodwaytowalk_5479
jicheon,강남서초한강길,126.986535,37.50616475,goodwaytowalk_5491
jicheon,강남서초한강길,126.9948602,37.5092714,goodwaytowalk_5511
jicheon,강남서초한강길,127.0007199,37.5129029,goodwaytowalk_5519
jicheon,강남서초한강길,127.0044612,37.51495477,goodwaytowalk_5521
jicheon,강남서초한강길,127.0049182,37.51577123,goodwaytowalk_5532
jicheon,강남서초한강길,127.00395,37.51441899,goodwaytowalk_5541
jicheon,강남서초한강길,127.0079217,37.5185508,goodwaytowalk_5559
jicheon,강남서초한강길,127.0087279,37.51928935,goodwaytowalk_5565
jicheon,강남서초한강길,127.0078259,37.51845663,goodwaytowalk_5589
jicheon,강남서초한강길,127.0070937,37.51773721,goodwaytowalk_5592
jicheon,강남서초한강길,127.001017,37.51295286,goodwaytowalk_5597
jicheon,강남서초한강길,126.9943052,37.50876422,goodwaytowalk_5609
jicheon,강남서초한강길,127.0103306,37.52066079,goodwaytowalk_5610
jicheon,강남서초한강길,127.0106669,37.5209486,goodwaytowalk_5619
jicheon,강남서초한강길,127.006835,37.51761356,goodwaytowalk_5622
jicheon,강남서초한강길,127.0085308,37.51912073,goodwaytowalk_5625
jicheon,강남서초한강길,127.0126805,37.52272716,goodwaytowalk_5643
jicheon,강남서초한강길,127.0112332,37.52143319,goodwaytowalk_5649
jicheon,강남서초한강길,127.0029028,37.51389467,goodwaytowalk_5660
jicheon,강남서초한강길,127.0042207,37.51470275,goodwaytowalk_5744
jicheon,강남서초한강길,127.004766,37.51546396,goodwaytowalk_5757
jicheon,강남서초한강길,127.0098557,37.52025444,goodwaytowalk_5790
jicheon,강남서초한강길,127.0096012,37.52003667,goodwaytowalk_5793
jicheon,강남서초한강길,127.0075162,37.51815231,goodwaytowalk_5802
jicheon,강남서초한강길,127.0032203,37.51402175,goodwaytowalk_5829
jicheon,강남서초한강길,127.0119692,37.52207021,goodwaytowalk_5889
jicheon,강남서초한강길,127.0108328,37.52109051,goodwaytowalk_5904
jicheon,강남서초한강길,127.0118034,37.52192105,goodwaytowalk_5919
jicheon,강남서초한강길,127.0103712,37.52069557,goodwaytowalk_5922
jicheon,강남서초한강길,127.0041145,37.51459142,goodwaytowalk_5943
jicheon,강남서초한강길,127.0071651,37.51780738,goodwaytowalk_5955
jicheon,강남서초한강길,127.009762,37.52017428,goodwaytowalk_5967
jicheon,강남서초한강길,126.993995,37.50871175,goodwaytowalk_5981
jicheon,강남서초한강길,127.0106073,37.52089755,goodwaytowalk_5997
jicheon,강남서초한강길,126.9896434,37.50774772,goodwaytowalk_6026
jicheon,반포천길,127.0023835,37.50211998,goodwaytowalk_5465
jicheon,반포천길,126.9921709,37.49947777,goodwaytowalk_5467
jicheon,반포천길,127.0004414,37.5013198,goodwaytowalk_5469
jicheon,반포천길,126.9890151,37.49896285,goodwaytowalk_5490
jicheon,반포천길,127.0005063,37.50134741,goodwaytowalk_5512
jicheon,반포천길,126.9867742,37.49869099,goodwaytowalk_5573
jicheon,반포천길,126.9974118,37.50007791,goodwaytowalk_5607
jicheon,반포천길,126.987382,37.49861097,goodwaytowalk_5670
jicheon,반포천길,126.9861916,37.4991099,goodwaytowalk_5675
jicheon,반포천길,127.0000642,37.50115922,goodwaytowalk_5683
jicheon,반포천길,126.9891684,37.49901179,goodwaytowalk_5700
jicheon,반포천길,126.9971908,37.49999726,goodwaytowalk_5820
jicheon,반포천길,126.9858919,37.49934519,goodwaytowalk_5832
jicheon,반포천길,126.9929349,37.4992507,goodwaytowalk_5835
jicheon,반포천길,127.0013414,37.50170295,goodwaytowalk_5847
jicheon,반포천길,127.0002053,37.50121928,goodwaytowalk_5856
jicheon,반포천길,126.9944943,37.499041,goodwaytowalk_5893
jicheon,반포천길,126.9952183,37.49927756,goodwaytowalk_5908
jicheon,반포천길,126.9942974,37.49903379,goodwaytowalk_5911
jicheon,반포천길,126.9881826,37.49869713,goodwaytowalk_5958
jicheon,반포천길,126.9872619,37.49862678,goodwaytowalk_5964
jicheon,반포천길,126.9950188,37.4992124,goodwaytowalk_5980
jicheon,반포천길,127.0011285,37.50161229,goodwaytowalk_5993
jicheon,반포천길,126.9922636,37.49945021,goodwaytowalk_6001
jicheon,반포천길,126.9878653,37.49866298,goodwaytowalk_6009
jicheon,반포천길,126.9927441,37.4993074,goodwaytowalk_6024
jicheon,양재천길,127.0339949,37.47315761,goodwaytowalk_5477
jicheon,양재천길,127.0297941,37.46543288,goodwaytowalk_5508
jicheon,양재천길,127.0331722,37.4725887,goodwaytowalk_5557
jicheon,양재천길,127.0131714,37.45542168,goodwaytowalk_5562
jicheon,양재천길,127.0257994,37.45817015,goodwaytowalk_5613
jicheon,양재천길,127.0237805,37.45728171,goodwaytowalk_5634
jicheon,양재천길,127.0293867,37.46842183,goodwaytowalk_5681
jicheon,양재천길,127.0290293,37.46797289,goodwaytowalk_5689
jicheon,양재천길,127.0278695,37.46064696,goodwaytowalk_5694
jicheon,양재천길,127.0307393,37.47012088,goodwaytowalk_5764
jicheon,양재천길,127.0295381,37.46861195,goodwaytowalk_5767
jicheon,양재천길,127.0220994,37.45676376,goodwaytowalk_5865
jicheon,양재천길,127.0374936,37.47468214,goodwaytowalk_5896
jicheon,양재천길,127.0427264,37.47825828,goodwaytowalk_5949
jicheon,여의천길,127.0584791,37.4495766,goodwaytowalk_5502
jicheon,여의천길,127.0579888,37.450001,goodwaytowalk_5505
jicheon,여의천길,127.0384857,37.4664621,goodwaytowalk_5510
jicheon,여의천길,127.0376789,37.47315704,goodwaytowalk_5558
jicheon,여의천길,127.0564171,37.45094185,goodwaytowalk_5583
jicheon,여의천길,127.0563218,37.45113996,goodwaytowalk_5586
jicheon,여의천길,127.0385927,37.46585348,goodwaytowalk_5615
jicheon,여의천길,127.0557488,37.4522337,goodwaytowalk_5640
jicheon,여의천길,127.0385824,37.46591132,goodwaytowalk_5726
jicheon,여의천길,127.0575951,37.45018911,goodwaytowalk_5730
jicheon,여의천길,127.0548141,37.45334287,goodwaytowalk_5814
